Rohu–Labeo Rohita,Open-Aquaculture,Extensive aquaculture Input,Organic,"Rooted high plants,Plankton,Agricultural Waste"
Rohu–Labeo Rohita,Open-Aquaculture,Semi-Intensive Input,Organic,"Worms,Fish larva , snails ,Autwchs"
Rohu–Labeo Rohita,Open-Aquaculture,Intensive aquaculture,Organic,"Worms,Fish larva , snails,Necton,Plankton"
Rohu–Labeo Rohita,Semi-closed aquaculture,Extensive aquaculture Input,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste,Agricultural Waste"
Rohu–Labeo Rohita,Semi-closed aquaculture,Semi-Intensive Input,Organic,"Necton,Plankton,Rooted high plants"
Rohu–Labeo Rohita,Semi-closed aquaculture,Intensive aquaculture,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste"
Rohu–Labeo Rohita,Closed_Aquaculture,Extensive aquaculture Input,Organic,"Necton,Plankton,Rooted high plants,Agricultural Waste"
Rohu–Labeo Rohita,Closed_Aquaculture,Semi-Intensive Input,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste"
Rohu–Labeo Rohita,Closed_Aquaculture,Intensive aquaculture,Organic,"Worms,Fish larva , snails ,Autwchs"
Rohu–Labeo Rohita,Open-Aquaculture,Extensive aquaculture Input,Artificial,"Agricultural Waste,Pollutry Waste"
Rohu–Labeo Rohita,Open-Aquaculture,Semi-Intensive Input,Artificial,"Pollutry Waste,Slaughter house"
Rohu–Labeo Rohita,Open-Aquaculture,Intensive aquaculture,Artificial,"Kitchen artificial Waste,Slaughter house"
Rohu–Labeo Rohita,Semi-closed aquaculture,Extensive aquaculture Input,Artificial,"Food factory Waste,Backery and diary waste"
Rohu–Labeo Rohita,Semi-closed aquaculture,Semi-Intensive Input,Artificial,"Backery and diary waste,Pollutry Waste"
Rohu–Labeo Rohita,Semi-closed aquaculture,Intensive aquaculture,Artificial,"Slaughter house , meat shop waste,Backery and diary waste"
Rohu–Labeo Rohita,Closed_Aquaculture,Extensive aquaculture Input,Artificial,"Pollutry Waste,Slaughter house,Backery and diary waste,Pollutry Waste"
Rohu–Labeo Rohita,Closed_Aquaculture,Semi-Intensive Input,Artificial,"Food factory Waste,Backery and diary waste,Pollutry Waste"
Rohu–Labeo Rohita,Closed_Aquaculture,Intensive aquaculture,Artificial,"Slaughter house , meat shop waste,Backery and diary waste,Pollutry Waste"
Catla–Indian Carp,Open-Aquaculture,Extensive aquaculture Input,Organic,"Rooted high plants,Plankton,Agricultural Waste"
Catla–Indian Carp,Open-Aquaculture,Semi-Intensive Input,Organic,"Worms,Fish larva , snails ,Autwchs"
Catla–Indian Carp,Open-Aquaculture,Intensive aquaculture,Organic,"Worms,Fish larva , snails,Necton,Plankton"
Catla–Indian Carp,Semi-closed aquaculture,Extensive aquaculture Input,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste"
Catla–Indian Carp,Semi-closed aquaculture,Semi-Intensive Input,Organic,"Necton,Plankton,Rooted high plants"
Catla–Indian Carp,Semi-closed aquaculture,Intensive aquaculture,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste"
Catla–Indian Carp,Closed_Aquaculture,Extensive aquaculture Input,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste,Agricultural Waste"
Catla–Indian Carp,Closed_Aquaculture,Semi-Intensive Input,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste"
Catla–Indian Carp,Closed_Aquaculture,Intensive aquaculture,Organic,"Food factory Waste,Backery and diary waste"
Catla–Indian Carp,Open-Aquaculture,Extensive aquaculture Input,Artificial,"Backery and diary waste,Pollutry Waste"
Catla–Indian Carp,Open-Aquaculture,Semi-Intensive Input,Artificial,"Slaughter house , meat shop waste,Backery and diary waste"
Catla–Indian Carp,Open-Aquaculture,Intensive aquaculture,Artificial,"Pollutry Waste,Slaughter house,Backery and diary waste,Pollutry Waste"
Catla–Indian Carp,Semi-closed aquaculture,Extensive aquaculture Input,Artificial,"Food factory Waste,Backery and diary waste,Pollutry Waste"
Catla–Indian Carp,Semi-closed aquaculture,Semi-Intensive Input,Artificial,"Slaughter house , meat shop waste,Backery and diary waste,Pollutry Waste"
Catla–Indian Carp,Semi-closed aquaculture,Intensive aquaculture,Artificial,"Agricultural Waste,Pollutry Waste"
Catla–Indian Carp,Closed_Aquaculture,Extensive aquaculture Input,Artificial,"Pollutry Waste,Slaughter house"
Catla–Indian Carp,Closed_Aquaculture,Semi-Intensive Input,Artificial,"Kitchen artificial Waste,Slaughter house"
Catla–Indian Carp,Closed_Aquaculture,Intensive aquaculture,Artificial,"Slaughter house , meat shop waste,Backery and diary waste,Pollutry Waste"
Tor Tor–Mahseer,Open-Aquaculture,Extensive aquaculture Input,Organic,"Rooted high plants,Plankton,Agricultural Waste"
Tor Tor–Mahseer,Open-Aquaculture,Semi-Intensive Input,Organic,"Worms,Fish larva , snails ,Autwchs"
Tor Tor–Mahseer,Open-Aquaculture,Intensive aquaculture,Organic,"Worms,Fish larva , snails,Necton,Plankton"
Tor Tor–Mahseer,Semi-closed aquaculture,Extensive aquaculture Input,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste"
Tor Tor–Mahseer,Semi-closed aquaculture,Semi-Intensive Input,Organic,"Necton,Plankton,Rooted high plants"
Tor Tor–Mahseer,Semi-closed aquaculture,Intensive aquaculture,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste"
Tor Tor–Mahseer,Closed_Aquaculture,Extensive aquaculture Input,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste,Agricultural Waste"
Tor Tor–Mahseer,Closed_Aquaculture,Semi-Intensive Input,Organic,"Worms,Fish larva , snails ,Autwchs,Kitchen Waste"
Tor Tor–Mahseer,Closed_Aquaculture,Intensive aquaculture,Organic,"Food factory Waste,Backery and diary waste"
Tor Tor–Mahseer,Open-Aquaculture,Extensive aquaculture Input,Artificial,"Backery and diary waste,Pollutry Waste"
Tor Tor–Mahseer,Open-Aquaculture,Semi-Intensive Input,Artificial,"Slaughter house , meat shop waste,Backery and diary waste"
